"ticker","year","month","day","open","high","low","close","volume","ex.dividend","split_ratio","adj_open","adj_high","adj_low","adj_close","adj_volume","date","change","delta"
"AMZN",1997,5,16,22.38,23.75,20.5,20.75,1225000,0,1,1.865,1.97916666666667,1.70833333333333,1.72916666666667,14700000,"1997-5-16",0,-0.25
"AMZN",1997,5,19,20.5,21.25,19.5,20.5,508900,0,1,1.70833333333333,1.77083333333333,1.625,1.70833333333333,6106800,"1997-5-19",0,-0.870000000000001
"AMZN",1997,5,20,20.75,21,19.63,19.63,455600,0,1,1.72916666666667,1.75,1.63583333333333,1.63583333333333,5467200,"1997-5-20",0,-2.5
"AMZN",1997,5,21,19.25,19.75,16.5,17.13,1571100,0,1,1.60416666666667,1.64583333333333,1.375,1.4275,18853200,"1997-5-21",0,-0.379999999999999
"AMZN",1997,5,22,17.25,17.38,15.75,16.75,981400,0,1,1.4375,1.44833333333333,1.3125,1.39583333333333,11776800,"1997-5-22",0,1.25
"AMZN",1997,5,23,16.88,18.25,16,18,1328100,0,1,1.40666666666667,1.52083333333333,1.33333333333333,1.5,15937200,"1997-5-23",1,1
"AMZN",1997,5,27,17.75,19.75,17.5,19,724800,0,1,1.47916666666667,1.64583333333333,1.45833333333333,1.58333333333333,8697600,"1997-5-27",1,-0.620000000000001
"AMZN",1997,5,28,19.31,19.63,18.38,18.38,381200,0,1,1.60916666666667,1.63583333333333,1.53166666666667,1.53166666666667,4574400,"1997-5-28",0,-0.32
"AMZN",1997,5,29,18.5,18.5,17.75,18.06,289400,0,1,1.54166666666667,1.54166666666667,1.47916666666667,1.505,3472800,"1997-5-29",0,-0.0599999999999987
"AMZN",1997,5,30,18,18.13,17.75,18,216200,0,1,1.5,1.51083333333333,1.47916666666667,1.5,2594400,"1997-5-30",0,0.129999999999999
"AMZN",1997,6,2,18.13,18.38,18,18.13,49300,0,1,1.51083333333333,1.53166666666667,1.5,1.51083333333333,591600,"1997-6-2",1,-0.379999999999999
"AMZN",1997,6,3,18.38,18.38,17.75,17.75,98600,0,1,1.53166666666667,1.53166666666667,1.47916666666667,1.47916666666667,1183200,"1997-6-3",0,-0.75
"AMZN",1997,6,4,17.75,17.88,16.75,17,256700,0,1,1.47916666666667,1.49,1.39583333333333,1.41666666666667,3080400,"1997-6-4",0,1.5
"AMZN",1997,6,5,17,18.5,16.5,18.5,472700,0,1,1.41666666666667,1.54166666666667,1.375,1.54166666666667,5672400,"1997-6-5",1,1.38
"AMZN",1997,6,6,18.13,20.5,18.13,19.88,650600,0,1,1.51083333333333,1.70833333333333,1.51083333333333,1.65666666666667,7807200,"1997-6-6",1,0.370000000000001
"AMZN",1997,6,9,20.25,20.5,19.88,20.25,196000,0,1,1.6875,1.70833333333333,1.65666666666667,1.6875,2352000,"1997-6-9",1,-1.25
"AMZN",1997,6,10,20.5,20.5,18.38,19,454900,0,1,1.70833333333333,1.70833333333333,1.53166666666667,1.58333333333333,5458800,"1997-6-10",0,-0.5
"AMZN",1997,6,11,19.13,19.25,18.38,18.5,99000,0,1,1.59416666666667,1.60416666666667,1.53166666666667,1.54166666666667,1188000,"1997-6-11",0,0.75
"AMZN",1997,6,12,19,19.75,18.63,19.25,136000,0,1,1.58333333333333,1.64583333333333,1.5525,1.60416666666667,1632000,"1997-6-12",1,-0.25
"AMZN",1997,6,13,19.5,19.5,19,19,57800,0,1,1.625,1.625,1.58333333333333,1.58333333333333,693600,"1997-6-13",0,-0.120000000000001
"AMZN",1997,6,16,19,19.25,18.75,18.88,76100,0,1,1.58333333333333,1.60416666666667,1.5625,1.57333333333333,913200,"1997-6-16",0,-0.82
"AMZN",1997,6,17,18.94,19.19,17.94,18.06,392200,0,1,1.57833333333333,1.59916666666667,1.495,1.505,4706400,"1997-6-17",0,0.0700000000000003
"AMZN",1997,6,18,18.25,18.44,18,18.13,205400,0,1,1.52083333333333,1.53666666666667,1.5,1.51083333333333,2464800,"1997-6-18",1,0
