"ticker","year","month","day","open","high","low","close","volume","ex.dividend","split_ratio","adj_open","adj_high","adj_low","adj_close","adj_volume","date","change","delta"
"IBM",1962,1,2,578.5,578.5,572,572,19360,0,1,15.73881,15.73881,15.56197,15.56197,387200,"1962-1-2",0,5
"IBM",1962,1,3,572,577,572,577,14400,0,1,15.56197,15.698,15.56197,15.698,288000,"1962-1-3",1,-5.75
"IBM",1962,1,4,577,577,571,571.25,12800,0,1,15.698,15.698,15.53476,15.54156,256000,"1962-1-4",0,-11.25
"IBM",1962,1,5,570.5,570.5,559,560,18160,0,1,15.52116,15.52116,15.20828,15.23549,363200,"1962-1-5",0,-10.5
"IBM",1962,1,8,559.5,559.5,545,549.5,27200,0,1,15.22189,15.22189,14.8274,14.94983,544000,"1962-1-8",0,6.5
"IBM",1962,1,9,552,563,552,556,24560,0,1,15.01784,15.31711,15.01784,15.12667,491200,"1962-1-9",1,1
"IBM",1962,1,10,557,559.5,557,557,14960,0,1,15.15387,15.22189,15.15387,15.15387,299200,"1962-1-10",1,6
"IBM",1962,1,11,558.5,563,558.5,563,15760,0,1,15.19468,15.31711,15.19468,15.31711,315200,"1962-1-11",1,1
"IBM",1962,1,12,564,568,564,564,21760,0,1,15.34432,15.45314,15.34432,15.34432,435200,"1962-1-12",1,2.5
"IBM",1962,1,15,566,567.75,566,566.5,12560,0,1,15.39873,15.44634,15.39873,15.41233,251200,"1962-1-15",1,-6
"IBM",1962,1,16,566,566,560.5,560.5,12560,0,1,15.39873,15.39873,15.24909,15.24909,251200,"1962-1-16",0,-9
"IBM",1962,1,17,558,558,550,551.5,20960,0,1,15.18108,15.18108,14.96343,15.00424,419200,"1962-1-17",0,1.5
"IBM",1962,1,18,553,558.5,553,553,18560,0,1,15.04505,15.19468,15.04505,15.04505,371200,"1962-1-18",1,0.5
"IBM",1962,1,19,553,554.5,547,553.5,20000,0,1,15.04505,15.08586,14.88181,15.05865,4e+05,"1962-1-19",1,-1
"IBM",1962,1,22,553.5,559,552,552.5,13760,0,1,15.05865,15.20828,15.01784,15.03144,275200,"1962-1-22",0,-5.5
"IBM",1962,1,23,552.25,553,546,547,18560,0,1,15.02464,15.04505,14.8546,14.88181,371200,"1962-1-23",0,3
"IBM",1962,1,24,547,550,544.25,550,20400,0,1,14.88181,14.96343,14.80699,14.96343,408000,"1962-1-24",1,-6
"IBM",1962,1,25,550,554.5,543,544,15760,0,1,14.96343,15.08586,14.77298,14.80019,315200,"1962-1-25",0,-2.75
"IBM",1962,1,26,544,546,541,541.25,12160,0,1,14.80019,14.8546,14.71857,14.72537,243200,"1962-1-26",0,-9.25
